trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.5139999999999999, 'e': 0.4231620823177488}",30,11,-22.820091943301513,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5129999999999999, 'e': 0.418951549247639}",30,19,-7.938452335606117,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5119999999999999, 'e': 0.4147829116815814}",20,13,3.6469012327906754,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5109999999999999, 'e': 0.4106557527523455}",30,17,17.32821596746819,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5099999999999999, 'e': 0.4065696597405991}",20,5,14.354499638244208,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5089999999999999, 'e': 0.40252422403363597}",30,0,-8.08112774327854,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.5079999999999999, 'e': 0.39851904108451414}",25,0,-16.65776399723562,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
93,False,"{'a': 0.5069999999999999, 'e': 0.3945537103716011}",20,0,-8.954929053522319,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",1
94,False,"{'a': 0.5059999999999999, 'e': 0.3906278353585211}",30,20,-22.17698551364847,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.5049999999999999, 'e': 0.3867410234545012}",25,2,-54.052390616784685,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 1}",1
96,False,"{'a': 0.5039999999999999, 'e': 0.38289288597511206}",25,5,-28.627181832047,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5029999999999999, 'e': 0.37908303810339883}",20,9,10.098061414639146,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5019999999999999, 'e': 0.37531109885139957}",20,0,-8.347369022366774,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
99,False,"{'a': 0.5009999999999999, 'e': 0.3715766910220457}",20,10,-25.79206274883759,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.4999999999999999, 'e': 0.36787944117144233}",20,2,-31.456701138266478,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 0}",1
101,False,"{'a': 0.4989999999999999, 'e': 0.3642189795715233}",25,18,1.8033533150213308,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.4979999999999999, 'e': 0.3605949401730783}",30,0,28.346009322015377,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
103,False,"{'a': 0.4969999999999999, 'e': 0.3570069605691474}",20,6,-9.214208865911784,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.4959999999999999, 'e': 0.35345468195878016}",20,9,0.3670910609474365,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.4949999999999999, 'e': 0.3499377491111553}",20,8,6.689276062247854,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.4939999999999999, 'e': 0.3464558103300574}",25,0,0.24518954650793967,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
107,False,"{'a': 0.4929999999999999, 'e': 0.34300851741870664}",20,10,1.1836514246493852,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.4919999999999999, 'e': 0.3395955256449391}",20,16,8.347222220523491,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.4909999999999999, 'e': 0.3362164937067333}",25,12,-17.077703484229072,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.4899999999999999, 'e': 0.33287108369807955}",25,11,9.141305363999441,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
